X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
320698,6715665,2483479,Stenhouse Street West,WS: Packaging,320698,6715665,,7903316,1,1100
320698,6715665,2483480,Stenhouse Street West,WS: Communal Bin,320698,6715665,,7903316,3,1280
320714,671614,2483481,Stenhouse Street West,WS: Bottle Bank - Mixed,320714,671614,,7903316,1,360
320239.93,671392.189999999,2483482,Broomhouse Wynd,WS: Communal Bin,320240,671392,,7903956,1,1100
320714,671614,2483483,Stenhouse Street West,WS: Food Waste Communal,320714,671614,,7903316,1,240
320714,671614,2483484,Stenhouse Street West,WS: Packaging,320714,671614,,7903316,1,1100
320714,671614,2483485,Stenhouse Street West,WS: Communal Bin,320714,671614,,7903316,1,1100
320729,671600,2483486,Stenhouse Street West,WS: Bottle Bank - Mixed,320729,671600,,7903316,1,360
320729,671600,2483487,Stenhouse Street West,WS: Food Waste Communal,320729,671600,,7903316,1,240
320729,671600,2483488,Stenhouse Street West,WS: Packaging,320729,671600,,7903316,2,1100
320729,671600,2483489,Stenhouse Street West,WS: Communal Bin,320729,671600,,7903316,2,1100
326540.23,676337.59,2483490,Ballantyne Road,WS: Bottle Bank - Mixed,326540,676338,,7901055,1,660
326540.49,676338.0,2483491,Ballantyne Road,WS: Packaging,326540,676338,,7901055,2,1100
326539.57,676338.35,2483492,Ballantyne Road,WS: Communal Bin,326540,676338,,7901055,2,1100
326629.75,676250.09,2483493,Bangor Road,WS: Bottle Bank - Mixed,326630,676250,,7901060,1,660
326620.0,676248.76,2483494,Bangor Road,WS: Bottle Bank - Mixed,326620,676249,,7901060,1,660
326620.43,676248.85,2483495,Bangor Road,WS: Packaging,326620,676249,,7901060,2,1100
326842.58,676005.1,2483496,Pirrie Street,WS: Food Waste Communal,326843,676005,,7901247,1,240
326842.55,676004.93,2483497,Pirrie Street,WS: Bottle Bank - Mixed,326843,676005,,7901247,1,660
326842.43,676004.960000001,2483498,Pirrie Street,WS: Packaging,326842,676005,,7901247,3,1100
326842.03,676004.73,2483499,Pirrie Street,WS: Communal Bin,326842,676005,,7901247,3,1100
326846.93,676002.609999999,2483500,Pirrie Street,WS: Food Waste Communal,326847,676003,,7901247,1,240
326847.09,676002.710000001,2483501,Pirrie Street,WS: Bottle Bank - Mixed,326847,676003,,7901247,1,660
326847.06,676003.130000001,2483502,Pirrie Street,WS: Packaging,326847,676003,,7901247,2,1100
326796.56,676041.859999999,2483503,Junction Place,WS: Food Waste Communal,326797,676042,,7901180,1,240
